下第春愁甚 行心道肯难 |Ref:劳君远见招
回瞻相好因垂泪 诗业愁堪为一肠 |Ref:苦海波涛何日平
剑外官人冷 猿中客客闲 |Ref:关中驿骑疏
皇帝正直 皇神不通 |Ref:别白善否
嫩蕊莺偷采 秋莺蝶别高 |Ref:柔条柳伴垂
常恐今已没 时为忽未生 |Ref:须臾还复生
寸心无疑事 寻年有如端 |Ref:所向非徒然
七夕今宵看碧霄 花轮花尽不长泥 |Ref:牵牛织女渡河桥
促来金镫短 不觉玉柄长 |Ref:扶上玉人轻
乘尔亦已久 策言非可悬 |Ref:天寒关塞深
山泽凝暑气 山芳有神光 |Ref:星汉湛光辉
引泉疏地脉 吹殿落天游 |Ref:扫絮积山嵌
白瓷瓯甚洁 朱关地自知 |Ref:红炉炭方炽
归来见天子 不去白云翁 |Ref:拜爵赐黄金
主人娱宾画障开 天天华辉出云明 |Ref:只言骐骥西极来
谁将五斗米 不负一门侯 |Ref:拟换北窗风
去去桃花源 来来何不里 |Ref:何时见归轩
青山有蘼芜 千下一不见 |Ref:泪叶长不干
分曹八舍断 照夜万乡风 |Ref:解袂五时空
车前骥病驽骀逸 道道谁成玉女龙 |Ref:架上鹰闲鸟雀高
飓起最可畏 火似谢龙石 |Ref:訇哮簸陵丘
地僻生涯薄 城多道路故 |Ref:山深俗事稀
逾月始到鹦鹉洲 忆看山与麒麟衣 |Ref:呜呜暮角喧城头
邀遮相组织 风结城东田 |Ref:呵吓来煎熬
吴市蠀蛦甲 湘江郭钓毛 |Ref:巴賨翡翠翘
思量在世头堪白 却见无如眼好花 |Ref:画度归山计未成
池边草作径 石塞花为人 |Ref:湖上叶如船
清秋忽如此 天递如可利 |Ref:离恨应难歇
噪柳鸣槐晚未休 春阳华馆空空白 |Ref:不知何事爱悲秋
一辞桂岭猿 再别松山中 |Ref:九泣东门月
驿路多连水 山山半入山 |Ref:州城半在云
甘从此后支离卧 便向谁时任老飞 |Ref:赖是从前烂漫游
妾家近隔凤凰池 为道盈中鸡拜贤 |Ref:粉壁纱窗杨柳垂
连轩尚贾馀 不命安何半 |Ref:清厉比归凯
龙负王舟渡 山回古岸江 |Ref:人占仙气来
绝域遥怀怒 闻岩长宴身 |Ref:和亲愿结欢
长波溢海岸 头日浮舟潮 |Ref:大点出嵩丘
词人求作称 古女见无知 |Ref:天子许和羹
国风人已变 春雨鸟犹助 |Ref:山泽增辉光
一室清羸鹤体孤 一叶闲情不生白 |Ref:气和神莹爽冰壶
虎旗龙舰顺长风 一马金天天大难 |Ref:坐引全吴入掌中
自有声名驰羽檄 石苍翻与数床闲 |Ref:不妨谈笑奉尊罍
赠君比潺湲 经浪如不灭 |Ref:相思无断绝
七里垂钓叟 不知发歌深 |Ref:还傍钓台居
轻舟去何疾 风水来王忧 |Ref:已到云林境
白日来深殿 青云出旧城 |Ref:青云满后尘
吾孙骑曹不骑马 白草兵幕合成名 |Ref:业学尸乡多养鸡
吴王承国宠 飞质琼朝游 |Ref:列第禁城东
谁能愁此别 独在泪难逢 |Ref:到越会相逢
清夜笙歌喧四郭 白风台上静中天 |Ref:黄昏钟漏下重关
便向中流出太阳 清秋里色游人知 |Ref:兼疑大岸逼浮桑
却教为后耻 来名有先名 |Ref:昭帝远和亲
西底空流水 东中不远年 |Ref:东垣但聚云
高人莫归去 幽处莫生同 |Ref:此处胜蓬瀛
地僻无溪路 溪深有不人 |Ref:人寻逐水声
江沙横猎骑 三日映王城 |Ref:山火绕行围
开门风雪顶 望石云云看 |Ref:上彻困飞禽
万里去长征 孤行来不行 |Ref:连年惯野营
尘路行多绿袍故 到山归有先相期 |Ref:风亭立久白须寒
事已出古表 客还忘中间 |Ref:谁言独今奇
昨日公车见三事 今朝蝉出从昭才 |Ref:明君赐衣遣为吏
忽振金汤 公被玉盖 |Ref:下彼巉崒
向风摇羽扇 临木入云衣 |Ref:含露滴琼浆
欢畅日云暮 羁明天迹故 |Ref:不知城市喧
弃却瓢囊摵碎琴 何来心向占在衣 |Ref:如今不恋□中金
日随行阙近 风惜坐山长 |Ref:岳为寿觞晴
势矫翔阳翰 功分造化炉 |Ref:功分造化炉
灞水行人渡 依山北树空 |Ref:商山驿路深
影落江心月 声繁雨发西 |Ref:声移谷口泉
四邻耒耜出 三向云石生 |Ref:何必吾家操
日暖山初绿 春晴日未红 |Ref:春寒雨欲晴
宴移明处清兰路 晓满春前明石人 |Ref:歌待新词促翰林
惊疑豹文鼠 起飞雁行牛 |Ref:贪窃虎皮羊
语合茶忘味 身将酒带出 |Ref:吟欹卷有棱
仙媛乘龙日 归龙捧雁来 |Ref:天孙捧雁来
花飘粉蝶 叶乱香鸥 |Ref:藻跃文鱼
逃席冲门出 金鞍接夕天 |Ref:归倡借马骑
自移西岳门长锁 天种南门字酒开 |Ref:一个行人一遍开
郊野间长薄 天天入马家 |Ref:城阙隐凝烟
稍移井邑闲 微见天林涯 |Ref:始悦登眺便
忆昔东邻宅初构 又闻端扃高高丛 |Ref:云甍彩栋皆非旧
剑阁西南远凤台 雨波东处一云来 |Ref:蜀魂何事此飞来
迅拔看鹏举 从回望马群 |Ref:高音侍鹤鸣
滴沤垂阁雨 空石御管香 |Ref:吹桧送帆风
蕃书文字别 白路已吟新 |Ref:胡俗语音殊
脸粉难匀蜀酒浓 更对相思独衣争 |Ref:口脂易印吴绫薄
雨之施物以孳 天飞教都敢凶 |Ref:我何意于彼为
精微入神在毫末 剑文身复生片远 |Ref:作缋造物可同功
径熟因频入 香开自有馀 |Ref:身闲得遍欹
山客砚前吟待月 不知应后此阳声 |Ref:野人尊前醉送春
急急能鸣雁 微残更食人 |Ref:轻轻不下鸥
一尺深红胜曲尘 家人能得头花花 |Ref:天生旧物不如新
愁逐前年少 能从后日时 |Ref:欢迎今岁多
彤庭传圣旨 尽学见元明 |Ref:异域化戎情
赋诗宾客间 清酒酒春风 |Ref:挥洒动八垠
衔恩空抱影 为问不归归 |Ref:酬德未捐躯
鸣鞭静路尘 籍籍谏垣臣 |Ref:籍籍谏垣臣
东望望春春可怜 何逢君日二都亭 |Ref:更逢晴日柳含烟
月上安禅久 烟中到客房 |Ref:苔生出院稀
闲吟定后更何事 泥酒应前月上声 |Ref:石上松枝常有风
云霞色酽禅房衲 竹竹香松即无心 |Ref:星月光涵古殿灯
银鞍白鼻騧 得时非不归 |Ref:绿地障泥锦
梁驾陪玄赏 空歌引子还 |Ref:淄庭掩翠岑
举家闻若骇 分至已如春 |Ref:为寄小如拳
舟同李膺泛 阁中杳清期 |Ref:醴为穆生携
官罢得丝发 室成还绮收 |Ref:好买百树桑
弭盖出故关 行灯入寒因 |Ref:穷秋首边路
君心若似我 不与如如生 |Ref:还得到其中
入禅从鸽绕 仙迹妙云登 |Ref:说法有龙听
岁月青松老 寒色白草新 |Ref:风霜苦竹疏
况无婚嫁累 幸有闲长外 |Ref:应拍尚平肩
有林时袅袅 幽鸟自漫啾 |Ref:无树渐萧萧
顾我亲情皆远道 应怜尘事为如处 |Ref:念君兄弟欲他乡
明慎全无枉 不知非可攀 |Ref:哀矜在好生
不意薛生携旧律 时流从老著新衣 |Ref:独开幽谷一枝春
遍入原上村 亲居不此壁 |Ref:村空犬仍猛
叶县已泥丹灶毕 何人何道白云人 |Ref:瀛洲当伴赤松归
江上年年芳意早 愁愁应日月春春 |Ref:蓬瀛春色逐潮来
乡魂坐中去 山梦望天楼 |Ref:倚壁身如死
鸟雀知天雪 鱼花向路情 |Ref:群飞复群鸣
寒声入烂醉 故气已轩河 |Ref:聒破西窗眠
树根雪尽催花发 潭对春长一月春 |Ref:池岸冰消放草生
夜涛鸣栅锁 寒枻在山吟 |Ref:寒苇露船灯
国用资戎事 清忧待圣忧 |Ref:臣劳为主忧
独坐伤孤枕 高行对远衣 |Ref:春来悲更甚
涨海潮生阴火灭 日江帆行爽云来 |Ref:苍梧风暖瘴云开
萧瑟晓风闻木落 月回秋雨声映仙 |Ref:此时何异洞庭秋
祚无极 圣此天 |Ref:享万春
人生百年夜将半 对酒长歌犹长叹 |Ref:对酒长歌莫长叹
不思得所各休去 叹老归心酒饮迟 |Ref:会到摧舟折楫时
星使三江上 云湖二里春 |Ref:天波万里通
春风还有常情处 落月高来不别多 |Ref:系得人心免别离
南轩有孤松 长枕无一竹 |Ref:柯叶自绵幂
标奇耸峻壮长安 侧屈空公钱屏老 |Ref:影入千门万户寒
手把铜虎符 知知身上轼 |Ref:身总丈人师
六十上清冥 东心不所生 |Ref:晓缄东越藤
洛城秋霁后 独气夜归邻 |Ref:梵阁暮登时
高楼送客不能醉 垂日征猿不解愁 |Ref:寂寂寒江明月心
跳花泼半散 堪日欲自樽 |Ref:涌沫飞旋圆
门前为报诸少年 下上不照日不会 |Ref:明日来迟不堪折
夜喧山门店 两笙梦林林 |Ref:独宿不安席
邑司犹属宗卿寺 忽向新师人子多 |Ref:册号还同虏帐人
曲士守文墨 上宫成贤书 |Ref:达人随性情
霜威变绿树 杀色随红鲜 |Ref:云气落青岑
以能问不能 善在无无容 |Ref:其蔽岂可祛
到君读书堂 入客有馀常 |Ref:忽若逢良医
攘羊告罪言何直 李兔来愚是无春 |Ref:舐犊牵情理岂虚
孤城漏未残 徒侣拂天鞍 |Ref:徒侣拂征鞍
已入闽王梦 无为越客魂 |Ref:香花境外邀
汝上多奇山 身大知不可 |Ref:高怀惬清境
野人不敢求他事 谁向南沙白屋里 |Ref:唯借泉声伴醉眠
四子遭明盛 野不莫业楼 |Ref:裒然皆秀杰
军门宣一令 相道驾龙登 |Ref:庙算建三略
右军殁后欲何依 积道当山池树空 |Ref:只合随鸡逐鸭飞
此日江边赠君后 故人谁是相相来 |Ref:却携筇杖向东林
千朝炼就紫金身 世肯犹得出玉口 |Ref:乃致全神归返朴
火寄冥宫 神虚城中 |Ref:水济丹台
悲莫悲兮生别离 悲中老兮凌苍河 |Ref:登山临水送将归
耿恭拜出井底水 闲得并来见得名 |Ref:广利刺开山上泉
新亭未有客 相夜不无人 |Ref:竟日独何为
古树满空塞 黄云无杀人 |Ref:黄云愁杀人
月镜如开匣 红琴似落霜 |Ref:云缨似缀冠
高陈九州力 之拜五山声 |Ref:百道驱归东
陇山千万仞 还出一重空 |Ref:鹦鹉巢其巅
援斧开众郁 忘得寄归客 |Ref:如师启群蒙
毒害芙蓉死 时临镜雨平 |Ref:烦蒸瀑布红
吾爱李太尉 一为汉天力 |Ref:崛起定中原
离恨始分明 辛心复足嫁 |Ref:归思更超忽
江南诗骚客 休吟苦热人 |Ref:休吟苦热行
柳岸花堤夕照红 藻梅燕处春风啼 |Ref:风清襟袖辔璁珑
神仙才有数 服我已有同 |Ref:流落意无穷
夫婿交河北 书书已风雾 |Ref:迢迢路几千
清冷之泉候朝汲 风香香霜如不起 |Ref:桑绠相牵常出入
大屋檐多装雁齿 风流风半满人书 |Ref:小航船亦画龙头
凶渠歌笑 香马荷苗 |Ref:裂地无疑
清洁云间路 苍来雪里群 |Ref:空凉水上亭
来取图书安枕里 行看白酒戍城下 |Ref:便驱鸡犬向山行
尝闻养蚕妇 上食方生耳 |Ref:未晓上桑树
自期殒命在春序 吾颠哭乱如春日 |Ref:屈指数日怜婴孩
敕戒四方 居名不中 |Ref:侈则有咎
少者任所归 闲者尚为为 |Ref:老者无所携
却共海棠花有约 前前放笑花家人 |Ref:数年留滞不归人
知君到三径 好我无四邻 |Ref:松菊有光辉
从来文字净 已是锦书新 |Ref:君子不以贤
凭崖望咸阳 宫阙重北极 |Ref:宫阙罗北极
今日梓州张社会 年年不道和埃尘 |Ref:应须遭这老尚书
贵人妆梳殿前催 远泥声发非束束 |Ref:香风吹入殿后来
莫把新诗题别处 如风一树几乡年 |Ref:谢家临水有池台
五年不见鸾台长 三地不眉乌落飞 |Ref:明日将陪兔苑游
珍木郁清池 风荷左右披 |Ref:风荷左右披
烟蒙上焚 涤似中人 |Ref:雨阵下棘
多才与命违 末路忆柴扉 |Ref:末路隐柴扉
东莞为著姓 深落忆归昔 |Ref:奕代皆隽哲
岁穷程未尽 乡入杳塞频 |Ref:天末国仍遥
吾闻虿有毒 化面不无才 |Ref:见之可疾驱
千官暖热李令闲 百告青来日日间 |Ref:百马生狞望云老
岂与小人意 为为无地间 |Ref:昏然同好恶
稍知花改岸 何不颂生源 |Ref:始验鸟随舟
独立应无侣 心风自有人 |Ref:浮生欲自伤
远游亦何为 独我非所保 |Ref:归来存竹帛
相对若教春女见 不衰应上是人心 |Ref:便须携向凤凰台
朝登百丈峰 暮望千千见 |Ref:遥望燕支道
鸡鸣函谷客如雾 貌同心异不可数 |Ref:貌同心异不可数
元戎静镇无边事 独事闲词不如音 |Ref:遣向营中偃画旗
谁料江边怀我夜 不为无为此尘春 |Ref:正当池畔望君时
敢问下执事 对厨过山杯 |Ref:今谁掌其权
贵主称觞万年寿 未惊妙璧在十阴 |Ref:还轻汉武济汾游
急濑鸣车轴 低尘宿上西 |Ref:微波漾钓筒
永愿酬国恩 恩兴夷济子 |Ref:自将布金田
花枝荫我头 天见照前前 |Ref:花蕊落我怀
寂寞心还间 秋人人满迹 |Ref:飘飖体自虚
烈烈鸑鷟吟 其谁以和曹 |Ref:铿铿琅玕音
丽似期神女 轻如许彩<unk> |Ref:珍如重卫姬
新丰绿树起黄埃 六童点儿不相台 |Ref:数骑渔阳探使回
暧然青轩暮 野上白云楼 |Ref:浩思非所任
远思应难尽 馀情岂易乡 |Ref:谁当与我同
鹊巢性本高 人栖飞中窜 |Ref:更在西山木
清月转瑶轸 白云归抽清 |Ref:弄中湘水寒
郊童樵唱返 窗听玉霞暮 |Ref:津叟钓歌还
挥袂故里远 悲书魂云深 |Ref:悲伤去住心
甲第开金穴 朝图上玉轮 |Ref:荣期乐自多
色阻金印大 如如玉巢空 |Ref:兴含沧浪清
潜躯委缰锁 白尽失成丝 |Ref:高步谢尘坱
绿盖独穿香径归 青双如在玉龙家 |Ref:白马花竿前孑孑
葛花满把能消酒 寒叶清山一满清 |Ref:栀子同心好赠人
昔传瘴江路 日日天云里 |Ref:今到鬼门关
客程回首瞻文陛 官与高人伤我已 |Ref:驿路乘轺忆故乡
慈乌复慈乌 子子重所飞 |Ref:鸟中之曾参
焉能心怏怏 为此亦为主 |Ref:只是走踆踆
峥嵘彻倒景 叹息终阳亭 |Ref:刻峭俯无地
如何却向巴东去 有树有来不可君 |Ref:三十六盘天外盘
临文乍了了 谁见逾方音 |Ref:彻卷兀若无
已知出郭少尘事 忽似西池见可愁 |Ref:更有澄江销客愁
城东城西旧居处 一回城日不相谁 |Ref:城里飞花乱如絮
消磨世上名利心 寂落山中得生头 |Ref:澹若岩间一流水
春还不得还 风别东南城 |Ref:家在最深山
清昼房廊山半开 挂君山上水泉台 |Ref:一瓶新汲洒莓苔
空山多雨雪 穷海有风春 |Ref:独立君始悟
家寄五湖间 晏朝百十里 |Ref:扁舟往复还
郡斋常夜扫 秋雨每时攀 |Ref:不卧独吟诗
日临宫树高 不望御城重 |Ref:烟盖沙草平
短促虽知有殊异 恩恩不信空情深 |Ref:且须欢醉在生前
门带果林招邑吏 吏辞戎水落远闻 |Ref:井分蔬圃属邻家
明日五更孤店月 日风疏泪陇灯钟 |Ref:醉醒何处泪沾巾
萧萧山路穷秋雨 江见空松一夕阳 |Ref:淅淅溪风一岸蒲
淘米少汲水 梅李罗口荷 |Ref:汲多井水浑
资斧念馀生 芳居忆渴色 |Ref:湖光隐圭窦
张翰江东去 相来江日过 |Ref:正值秋风时
明月临歌扇 黄云入舞衣 |Ref:行云接舞衣
若有人及此 此无不不知 |Ref:傍观为何如
远山谁辨江南北 犹是南愁雁过西 |Ref:长路空随树浅深
床前沙鸟语 花上水人水 |Ref:案下锦鳞惊
鞍马朝天色 笙峰路路花 |Ref:封章恋阙情
此夜江中月 西时不上人 |Ref:流光花上春
歌舞须连夜 三人即动秋 |Ref:神仙莫放归
才小知难荐 留高意易倾 |Ref:终劳许郭心
迫胁闻杂驱 风秋倦断巾 |Ref:咿呦叫冤跀
杖策寻故人 江思起知士 |Ref:解鞭暂停骑
回寻画龙堂 高思来天曲 |Ref:二叟鬓发斑
似叹久离别 如看万风秋 |Ref:嗟嗟复凄凄
独契依为舍 当马出亦人 |Ref:闲行绕作蹊
如来烧赤尽 思雨不青生 |Ref:惟有一群僧
僧语夜凉云树黑 雨人春水见遗明 |Ref:月生峰上月初生
余闻古夏后 心与不为归 |Ref:象物知神奸
宾随落叶散 客逐空风开 |Ref:帽逐秋风吹
至今黄泉下 君我有山起 |Ref:名及青云端
尽应逢野渡 飞未见山山 |Ref:中忽见村祠
时命若不会 此德如相歌 |Ref:归应炼丹砂
入关词客秋怀友 只看风风素角昌 |Ref:出户孀妻晓望夫
青青伊涧松 不发非山日 |Ref:移植在莲宫
故事曾尊隗 经行几可王 |Ref:前修有荐雄
邓通铜山 平应大是 |Ref:郭况金穴
竹林会里偏怜小 一外相中共望情 |Ref:淮水清时最觉贤
东邻少年安所如 颦尘小金买未如 |Ref:席门穷巷出无车
茂树延晚凉 等花引寒安 |Ref:早田候秋熟
石阙凉调瑟 空门曲欲单 |Ref:秋坛夜拜星
昔为童稚不知愁 别看岩阳心忆尊 |Ref:竹马闲乘绕县游
既食丈人粟 云飞不子真 |Ref:又饱丈人刍
自是荒淫多 来身来帝关 |Ref:梦得巫山女
旧俗采菱处 新我传草边 |Ref:津亭风景和
雨零感节 从草前愁 |Ref:云飞应序
百年不敢料 万意今君多 |Ref:一坠那得取
三度为郎便白头 五钟不滞不垂枝 |Ref:一从出守五经秋
水面芙蓉秋已衰 繁条到是著花时 |Ref:繁条偏是著花迟
好著櫜鞬莫惆怅 一枝恰是将将年 |Ref:出文入武是全才
封内如太古 此间属司时 |Ref:时危独萧然
北阙明如画 南林月似言 |Ref:南山碧动人
焰短寒缸尽 烟湘泪色长 |Ref:声长晓漏迟
一旬一手版 孤气行行轻 |Ref:十日九手锄
承颜陆郎去 山守玄女池 |Ref:携手谢娘归
岁暮云皋鹤 风风未羡时 |Ref:闻天更一鸣
风涛初振海 世服共澄天 |Ref:鹓鹭各辞林
此理知甚易 世性在在尊 |Ref:此道行甚难
我读此篇日 得事为为时 |Ref:正当寒雪时
浦屿渔人火 烟阳不秋钟 |Ref:蒹葭凫雁声
两事皆害性 一流无到官 |Ref:一生恒苦心
不得从师去 人间任事贤 |Ref:殷勤谢草堂
渐看海树红生日 自听江流白<unk>天 |Ref:遥见包山白带霜
玉帛群臣醉 金天一客归 |Ref:徽章缛礼该
宛彼宫阙丽 强伸洛汉流 |Ref:如何犬羊膻
楚水澶溪征战事 不将争地社人家 |Ref:吴塞乌江辛苦地
昔闻阻山川 今目重水前 |Ref:今听同匡床
饮啄蓬山最上头 和烟飞下禁城秋 |Ref:和烟飞下禁城秋
郑子将行罢使臣 高文不节满高楼 |Ref:囊无一物献尊亲
晴出寺门惊往事 夜归多赋到离尘 |Ref:古松千尺半苍苔
水北金台路 云南玉去旁 |Ref:年年行客稀
学道须教彻骨贫 无成何事登身人 |Ref:囊中只有五三文
高情唯怕酒不满 寒地犹愁人少城 |Ref:长逝可悲花正开
膏销骨尽烟火死 相今人李夜风花 |Ref:长安城中贼毛起
更出淮楚间 酒芜江海上 |Ref:复来荆河口
时危关百虑 衰发不同心 |Ref:盗贼尔犹存
黄陵庙前莎草春 黄陵女儿蒨裙新 |Ref:黄陵女儿茜裙新
子犯亦有言 言言伤里意 |Ref:臣犹自知之
东山期已定 归路自可期 |Ref:相许便抽簪
驿楼见万里 相望为千树 |Ref:延首望辽碣
今朝官满重归去 空有人应得老闲 |Ref:还挈来时旧酒瓢
朝游公卿府 醉向天华天 |Ref:夕是山林人
德迈娥台敞 仁高姒幄披 |Ref:仁高姒幄披
当时珠泪垂多少 不惜恩心在不雄 |Ref:直到如今竹尚斑
香萼媚红滋 清来多中束 |Ref:垂条萦绿丝
既回数子顾 亦出主人空 |Ref:展转相连攀
高情薄云汉 一里古君周 |Ref:酣态坐芳洲
金甲耀兜鍪 黄云拂紫室 |Ref:黄金拂紫骝
闲门横古塘 清叶满前竹 |Ref:红树已惊霜
拂曙辟行宫 横香风夜半 |Ref:寒皋野望通
风霜枯万物 天日断千居 |Ref:退谷如春时
化迹传官寺 传恩遍国门 |Ref:归诚谒梵居
高梧与疏柳 远落与居依 |Ref:风雨似郊扉
失侣度山觅 云家度可思 |Ref:投林舍北啼
舍下雄鸡失一足 天中丧日是罗边 |Ref:街头小福拉三拳
