碧水冥空惟鸟飞 青山不见白头飞<eos> |Ref:长天何处云随雨
借问谁凌虐 何人不可知<eos><eos><eos> |Ref:天骄毒威武
灵怪不可知 不知天子心<eos><eos><eos> |Ref:风雨疑来逼
款段苦不前 不知不能得<eos><eos><eos> |Ref:青冥信难致
孤烟起蜗舍 落落花相思<eos><eos><eos> |Ref:飞鹭下渔梁
行赍健笔辞天阁 不得将驱汉帝间<eos> |Ref:坐见妖星落蔡州
声和细管珠才转 影落红绡雪不开<eos> |Ref:曲度沉烟雪更香
晓鼓军容肃 春堂舞满明<eos><eos><eos> |Ref:疏钟客梦归
隔世闻丹经 无人在天州<eos><eos><eos> |Ref:悬泉注明玉
陈琳能草檄 楚客入王孙<eos><eos><eos> |Ref:含笑出长平
若许白猿垂近户 不知何处玉书花<eos> |Ref:即无红果压低枝
尽应逢野渡 不觉见山山<eos><eos><eos> |Ref:中忽见村祠
惩淫或应可 天化不相亲<eos><eos><eos> |Ref:在道未为弘
还乡信有兴 不得不知君<eos><eos><eos> |Ref:去郡能无情
桐君桂父岂胜我 不得白云无所思<eos> |Ref:醉里白龙多上升
莫讶频来此 何人不可知<eos><eos><eos> |Ref:伊余亦隐沦
茅屋买兼土 松枝不有人<eos><eos><eos> |Ref:斯焉心所求
君方对酒缀诗章 不觉春来一片花<eos> |Ref:我正持斋坐道场
寻知世界都如梦 不得长安不可知<eos> |Ref:自喜身心甚不忙
清昼冷无光 清凉日无月<eos><eos><eos> |Ref:兰膏坐销歇
既乱莓苔色 仍随石谷心<eos><eos><eos> |Ref:仍连菡萏香
砚冰忧诏急 诗兴故同生<eos><eos><eos> |Ref:灯烬惜更残
不辞辛苦来东道 不得何人不得归<eos> |Ref:只为箫韶朝夕闻
曾是寂寥金烬暗 不知春色不成生<eos> |Ref:断无消息石榴红
离群心断绝 一日不相亲<eos><eos><eos> |Ref:十见花成雪
凶竖曾驱策 胡雄不避诛<eos><eos><eos> |Ref:权豪岂易当
玄珠寄象罔 白玉生金盘<eos><eos><eos> |Ref:赤水非寥廓
巩树翻红秋日斜 天娥白日满西山<eos> |Ref:水分伊洛照馀霞
凝澄坐晓灯 清雨动寒晖<eos><eos><eos> |Ref:病眼如蒙纱
旗亭百隧开新市 汉帝王王宫下殿<eos> |Ref:甲第千甍分戚里
本望文字达 不知心事多<eos><eos><eos> |Ref:今因文字穷
能将此道助皇风 不得相逢一道人<eos> |Ref:自可殊途并伊吕
山疟困中闻有赦 天恩不不不通溟<eos> |Ref:死灰不望光阴借
霜凝薜荔怯秋树 月带花开一上楼<eos> |Ref:露滴芙蓉愁晚波
谁访孙弘阁 还陪汉守贤<eos><eos><eos> |Ref:谈玄到日斜
鼎消微是滓 身有不成子<eos><eos><eos> |Ref:车碾半和尘
鹤羽冲风过海迟 一枝无限不相亲<eos> |Ref:不如却使青龙去
子午常餐日月精 一枝白发如红花<eos> |Ref:玄关门户启还扃
由余窥霸国 不得在东城<eos><eos><eos> |Ref:萧相奉兴王
闻有白太守 不知何所求<eos><eos><eos> |Ref:抛官归旧谿
蜀路何悠悠 东山一山绿<eos><eos><eos> |Ref:岷峰阻且修
高节人相重 清风意未成<eos><eos><eos> |Ref:虚心世所知
朝稀且莫轻春赏 不觉长安一夜风<eos> |Ref:胜事由来在帝乡
释律周儒礼 恩天圣主恩<eos><eos><eos> |Ref:严持用戒身
烟暝搔愁鬓 风风吹落花<eos><eos><eos> |Ref:春阴赖酒乡
巨壑隍北壖 群南势无下<eos><eos><eos> |Ref:长江堑西隩
双扉碧峰际 一点满山田<eos><eos><eos> |Ref:遥向夕阳开
青楼邻里妇 白首出归人<eos><eos><eos> |Ref:终年画长眉
分向空山老 无人不可知<eos><eos><eos> |Ref:何言上苑来
都护今年破武威 不知天子是真人<eos> |Ref:胡沙万里鸟空飞
莫待春深去 何曾不见君<eos><eos><eos> |Ref:花时鞍马多
塞上蕃僧老 天涯万里游<eos><eos><eos> |Ref:天寒疾上关
感谢鹓鹭朝 不知风吹清<eos><eos><eos> |Ref:勤修魑魅职
四子遭明盛 一身无所求<eos><eos><eos> |Ref:裒然皆秀杰
从此玉皇须破例 不知何处是人间<eos> |Ref:染霞裁赐地仙衣
十年难遇后 一日不相亲<eos><eos><eos> |Ref:一醉几人同
兔园春欲尽 云鸟一时清<eos><eos><eos> |Ref:别有一丛芳
天地虽云广 天涯不可亲<eos><eos><eos> |Ref:殊难寄此身
土扶可成墙 天死不可为<eos><eos><eos> |Ref:积德为厚地
彩旒悬倒景 罗袖拂轻风<eos><eos><eos> |Ref:羽盖偃乔松
张范唯通梦 陶唐不得人<eos><eos><eos> |Ref:求羊永绝踪
好个分明天上路 不知何处是君家<eos> |Ref:谁教深入武陵溪
驰心栖杳冥 不见长安得<eos><eos><eos> |Ref:何物比清泠
江南诗骚客 不见一人行<eos><eos><eos> |Ref:休吟苦热行
将何佐明主 不得为君传<eos><eos><eos> |Ref:甘老在岩松
薄狩三农隙 高舆一汉<unk><eos><eos><eos> |Ref:大阅五戎场
野色人耕破 山花鸟声寒<eos><eos><eos> |Ref:山根浪打鸣
舍矢如破石可裂 天龙不出天棱开<eos> |Ref:应弦尽敌山为空
兵来吾有计 不是不知身<eos><eos><eos> |Ref:金井玉钩栏
春风传我意 春夜风不起<eos><eos><eos> |Ref:草木别前知
从来夸有龙泉剑 不得春风入水边<eos> |Ref:试割相思得断无
家贫羡尔有微禄 不得无人为子孙<eos> |Ref:欲往从之何所之
天际卓寒青 天涯在丹鲜<eos><eos><eos> |Ref:舟中望晚晴
除去菩萨 不为为名<eos><eos><eos><eos> |Ref:扶立生铁
邹阳暖艳催花发 白雪如红似日开<eos> |Ref:太皞春光簇马归
愿得西山无树木 不知何处是君家<eos> |Ref:免教人作泪悬悬
神仙虽然有传说 不知一字无所为<eos> |Ref:知者尽知其妄矣
更撰居山记 何由见此心<eos><eos><eos> |Ref:唯寻相鹤经
江倒沸鲸鲲 山高飞走虎<eos><eos><eos> |Ref:山摇溃貙猰
空怀寿街吏 不得不可知<eos><eos><eos> |Ref:尚隔寝门朝
退坐西壁下 归来一云游<eos><eos><eos> |Ref:读诗尽数编
东游借得琴高鲤 北苑龙成玉一文<eos> |Ref:骑入蓬莱清浅中
若教更近天街种 不得无人不得知<eos> |Ref:马上多逢醉五侯
路远人罕窥 山人见相过<eos><eos><eos> |Ref:谁能见清澈
已闻三世没军营 不得长安一夜时<eos> |Ref:又见儿孙学战争
檐溜声何暴 窗阴月不开<eos><eos><eos> |Ref:邻僧影亦沈
簇簇青泥中 春风归客来<eos><eos><eos> |Ref:新蒲叶如剑
秦因逐客令 楚有君人路<eos><eos><eos> |Ref:柄归丞相斯
缅想咸阳事可嗟 不知春色不相亲<eos> |Ref:楚歌哀怨思无涯
又见吴中磨角来 不知一人不相识<eos> |Ref:舞槊盘刀初触击
足听猿啼雨 心随云水风<eos><eos><eos> |Ref:深藏马腹鞭
举鞭挥柳色 一月入山风<eos><eos><eos> |Ref:随手失蝉声
驻马高溪侧 开帘入水城<eos><eos><eos> |Ref:旅人千里情
莫惊头欲白 不是一年春<eos><eos><eos> |Ref:禅观老弥深
念君经世乱 不得无能得<eos><eos><eos> |Ref:匹马向王畿
山下有家身未老 不知何处是何人<eos> |Ref:灶前无火药初成
圣代即今多雨露 天天不得一生人<eos> |Ref:暂时分手莫踌躇
萧关路绝久 不见长江水<eos><eos><eos> |Ref:石堠亦为尘
欲继前贤迹 还随东雁归<eos><eos><eos> |Ref:谁能似隐招
莫怕长洲桃李妒 不知新酒日成开<eos> |Ref:今年好为使君开
野烟新驿曙 山草宿山春<eos><eos><eos> |Ref:残照古山秋
为君乐战死 不得不能知<eos><eos><eos> |Ref:谁喜作征夫
端人凿断碧溪浔 一酒开衣一年春<eos> |Ref:善价争教惜万金
宿昔投知己 何人为所以<eos><eos><eos> |Ref:周旋谢起予
归途行欲曛 此步不相思<eos><eos><eos> |Ref:佳趣尚未歇
翻倒荷芰乱 不知风落深<eos><eos><eos> |Ref:指挥径路迷
遥夜泛清瑟 清风入清音<eos><eos><eos> |Ref:西风生翠萝
大女身为织锦户 一将人事上天台<eos> |Ref:名在县家供进簿
烟容开远树 风影入高楼<eos><eos><eos> |Ref:春色满幽山
郡人寂听衣满霜 不见春风不可知<eos> |Ref:江城月斜楼影长
不是通家旧 何由得道同<eos><eos><eos> |Ref:频劳文举过
倚剑对风尘 归舟不相见<eos><eos><eos> |Ref:慨然思卫霍
峨嵋山下少人行 不得相逢一日去<eos> |Ref:旌旗无光日色薄
解印归田里 行山入水空<eos><eos><eos> |Ref:贤哉此丈夫
小小月轮中 不知春夜色<eos><eos><eos> |Ref:斜抽半袖红
盘根直盈渚 一寸生不足<eos><eos><eos> |Ref:交干横倚天
疏影纱窗外 寒花玉树中<eos><eos><eos> |Ref:清音宝瑟中
斗班云汹涌 飞入云泉影<eos><eos><eos> |Ref:开扇雉参差
香萼媚红滋 香泉清露香<eos><eos><eos> |Ref:垂条萦绿丝
草堂每多暇 不觉无所思<eos><eos><eos> |Ref:时谒山僧门
入群来择马 为退亦无群<eos><eos><eos> |Ref:抛伴去擒生
鸿雁向西北 云云随海西<eos><eos><eos> |Ref:飞书报天涯
肃肃清祀 肃穆雍闱<eos><eos><eos><eos> |Ref:烝烝孝思
好衣美食来何处 不得春风不可知<eos> |Ref:亦须惭愧桑弘羊
挂缨岂惮宿 不得无人心<eos><eos><eos> |Ref:落珥不胜娇
非无他人家 不得不可得<eos><eos><eos> |Ref:岂少群木枝
鸟向歌筵来度曲 风来山水不成寒<eos> |Ref:云依帐殿结为楼
缔构不应饶汉祖 开琴犹自在金鳞<eos> |Ref:奸雄何足数王敦
辞天出塞阵云空 一日归来不相见<eos> |Ref:雾卷霞开万里通
感君缠绵意 不敢为歌鸣<eos><eos><eos> |Ref:系在红罗襦
旅望因高尽 归程在远城<eos><eos><eos> |Ref:乡心遇物悲
雾昏不见西陵岸 不见春风不见花<eos> |Ref:风急先闻瀑布声
去去何时却见君 一枝一片一生花<eos> |Ref:悠悠烟水似天津
青门一分手 白首一年时<eos><eos><eos> |Ref:难见杜陵人
半偈传初尽 高门喜自通<eos><eos><eos> |Ref:群生意未回
犹怜醉里江南路 不得春风不见人<eos> |Ref:马上垂鞭学钓时
正是花时节 何人不可知<eos><eos><eos> |Ref:思君寝复兴
翟汤隐操 白发山阴<eos><eos><eos><eos> |Ref:许询胜具
千惭万谢唤厌人 不得不知无所为<eos> |Ref:向使无君终不寤
结根幸得地 不得无所为<eos><eos><eos> |Ref:且免离离映
五月天山雪 千年入此时<eos><eos><eos> |Ref:无花只有寒
谁言南海无霜雪 不见东山一片云<eos> |Ref:试向愁人两鬓看
云溪花淡淡 风水雨初清<eos><eos><eos> |Ref:春郭水泠泠
经勘松风燥 临江月色微<eos><eos><eos> |Ref:檐垂坞茗香
思不从兮空踟蹰 不如马兮人间事<eos> |Ref:心回迷兮意萦纡
握手出都门 飞飞白云中<eos><eos><eos> |Ref:驾言适京师
醁醽今夕酒 玉帐迥朝装<eos><eos><eos> |Ref:缃帙去时书
鱼跃莲东荡宫沼 鸟连玉帐连千重<eos> |Ref:濛濛御柳悬栖鸟
酒杯春醉好 春月满山天<eos><eos><eos> |Ref:飞雪晚庭闲
甘贫辞聘币 老事有桑葵<eos><eos><eos> |Ref:依选受官资
举起盆中日 相逢不可寻<eos><eos><eos> |Ref:驱行草上风
仙宫知不远 不见白云飞<eos><eos><eos> |Ref:只近太微星
几人游赤水 一夜不相思<eos><eos><eos> |Ref:夫子得玄珠
卑栖岁已晚 不得不知君<eos><eos><eos> |Ref:共羡雁南飞
得之贼帝尧 不得为其伦<eos><eos><eos> |Ref:白丁作天子
夜窗飒飒摇寒竹 夜竹高花落晚风<eos> |Ref:秋枕迢迢梦故山
故旧相望在三事 不知一日无千年<eos> |Ref:愿君莫厌承明庐
烦君玉指轻拢撚 不觉春来春草萋<eos> |Ref:慢拨鸳鸯送一杯
含愁复含笑 不觉不相思<eos><eos><eos> |Ref:回首问横塘
拄杖邻僧与 寻山见不归<eos><eos><eos> |Ref:殊常不可名
睡起褰帘日出时 一枝红叶不堪愁<eos> |Ref:今辰初恨间容辉
足蒸暑土气 势若生光彩<eos><eos><eos> |Ref:背灼炎天光
若到当时上升处 不知何处是人人<eos> |Ref:长生何事后无人
鹤驾何冥冥 云山一天阔<eos><eos><eos> |Ref:鳌洲去浩浩
蒐于岐阳骋雄俊 谢国仙臣出天哲<eos> |Ref:万里禽兽皆遮罗
乘闲动诗意 不觉不相思<eos><eos><eos> |Ref:助静入禅心
麻姑山下逢真士 不见春风不见君<eos> |Ref:玄肤碧眼方瞳子
遥涵窗户冷 稍入水门花<eos><eos><eos> |Ref:近映冕旒清
已见心远 不知心事<eos><eos><eos><eos> |Ref:何关地偏
攀援悬根木 不觉闻风风<eos><eos><eos> |Ref:登顿入天石
多生觉悟非关衲 不得无鱼作此人<eos> |Ref:一点分明不在灯
直排七点星藏指 不得金钗不见弓<eos> |Ref:暗合清风调宫徵
庾公爱秋月 白发无秋风<eos><eos><eos> |Ref:乘兴坐胡床
侧听空堂闻静响 空空不觉夜寒光<eos> |Ref:似敲疏磬褭清音
思君独步西垣里 不觉春风满水风<eos> |Ref:日日含香草诏书
巴童荡桨欹侧过 一片风声长夜风<eos> |Ref:水鸡衔鱼来去飞
问身一何安 不得无所为<eos><eos><eos> |Ref:太守恩怀多
常恐百虫秋 不知一一曲<eos><eos><eos> |Ref:使我芳草歇
青山自一川 白日无秋雨<eos><eos><eos> |Ref:城郭洗忧戚
色阻金印大 声远凤凰归<eos><eos><eos> |Ref:兴含沧浪清
万木长不住 一年无不知<eos><eos><eos> |Ref:细泉听更深
长门槐柳半萧疏 一日风涛满水流<eos> |Ref:玉辇沉思恨有馀
不欲登楼更怀古 不知何处是君王<eos> |Ref:斜阳江上正飞鸿
乘舆执玉已登坛 不得相逢一度时<eos> |Ref:细草沾衣春殿寒
复整瑶池驾 还陪白玉楼<eos><eos><eos> |Ref:还临官渡营
黄昏独倚朱阑 不见花枝白首<eos><eos> |Ref:西南新月眉弯
只言啼鸟堪求侣 不觉春风春未来<eos> |Ref:无那春风欲送行
何言千里隔 不得一生知<eos><eos><eos> |Ref:秋思一时生
故乡眇千里 一日无所思<eos><eos><eos> |Ref:离忧积万端
秋来凫雁下方塘 夜向江河入行迹<eos> |Ref:系马朝台步夕阳
眼前何事不伤神 不得长安不可知<eos> |Ref:忍向江头更弄春
柳映三桥发 花开万里深<eos><eos><eos> |Ref:花连上道明
昔去落尘俗 今朝入汉宫<eos><eos><eos> |Ref:愿言闻此曲
岁暮容将老 春风不可知<eos><eos><eos> |Ref:雪晴山欲春
五色云间鹊 千峰月上风<eos><eos><eos> |Ref:飞鸣天上来
别后闻餐饵 归来见酒床<eos><eos><eos> |Ref:相逢讶道情
剃头未必知心法 不觉无时不得心<eos> |Ref:要且闲于名利人
寒花带雪满山腰 一片清风一夜声<eos> |Ref:著柳冰珠满碧条
蹑云丹井畔 看日一枝花<eos><eos><eos> |Ref:望月石桥边
洞箫日暖移宾榻 山里归来归旧游<eos> |Ref:垂柳风多掩妓楼
云开上界近 日暮一行来<eos><eos><eos> |Ref:泉落下方迟
慈乌复慈乌 不得长风影<eos><eos><eos> |Ref:鸟中之曾参
戏罢曾无理曲时 不知春色不堪愁<eos> |Ref:妆成只是薰香坐
雁迥参差远 猿鸣远岸深<eos><eos><eos> |Ref:龙多次第迟
桥南荀令过 不觉心无穷<eos><eos><eos> |Ref:十里送衣香
江南江北两风流 一曲江边月满楼<eos> |Ref:一作迷津一拜侯
汉武玉堂人岂在 一年何处是君人<eos> |Ref:石家金谷水空流
清晨候吏把书来 一片春来一一枝<eos> |Ref:十载离忧得暂开
斋官禁与僧相见 不觉春风不可知<eos> |Ref:院院开门不得过
戆叟老壮气 <unk>花无人力<eos><eos><eos> |Ref:感之为忧云
自学古贤修静节 不知三十一年春<eos> |Ref:唯应野鹤识高情
圣人信恭己 不得无所求<eos><eos><eos> |Ref:天命允昭回
德泽施云雨 天孙随白云<eos><eos><eos> |Ref:恩光变烬灰
幸接上宾登郑驿 不知此事无所求<eos> |Ref:羞为长女似黄家
就养思儿戏 无人见此来<eos><eos><eos> |Ref:延年爱鸟伸
萍泛同游子 松开坐旧居<eos><eos><eos> |Ref:莲开当丽人
枯杨映漳水 一片一声中<eos><eos><eos> |Ref:野火上西陵
路傍看骤影 山上惊飞风<eos><eos><eos> |Ref:鞍底卷旋毛
山横湖色上 水静水泉中<eos><eos><eos> |Ref:帆出鸟行前
东堂桂欲空 南北风遥春<eos><eos><eos> |Ref:犹有收萤光
交关但交假 归去无飞翮<eos><eos><eos> |Ref:本生得失轻
春来爱有归乡梦 不觉长生到白云<eos> |Ref:一半犹疑梦里行
连庙魂栖望 孤舟忆入关<eos><eos><eos> |Ref:飘江字绕巴
歌以德发 乐礼以彰<eos><eos><eos><eos> |Ref:声以乐贵
寝室悲长簟 香花落落花<eos><eos><eos> |Ref:妆楼泣镜台
今之洞庭者 不得无人事<eos><eos><eos> |Ref:一以非此选
脉脉花满树 香罗窗影香<eos><eos><eos> |Ref:翾翾燕绕云
二仪齐法驾 万里入天涯<eos><eos><eos> |Ref:三会礼香筵
永结无情游 不知何所见<eos><eos><eos> |Ref:相期邈云汉
一朝吾道泰 一日在天涯<eos><eos><eos> |Ref:还逐落潮归
碑苔几字灭 不得一枝枝<eos><eos><eos> |Ref:山木万株齐
锦帆天子狂魂魄 不得人来一日时<eos> |Ref:应过扬州看月明
城上风生蜡炬寒 一声长在一枝中<eos> |Ref:锦帷开处露翔鸾
中有古精舍 下君无所思<eos><eos><eos> |Ref:轩户无扃关
载絜牲牷 清清启俎<eos><eos><eos><eos> |Ref:爰登俎豆
君王莫信和亲策 不得无由不得知<eos> |Ref:生得胡雏虏更多
浐川桑落雕初下 江上花开玉重斜<eos> |Ref:渭曲禾收兔正肥
犹闻长乐钟 不见一人知<eos><eos><eos> |Ref:尚辨青门树
想应敷对忠言后 不得相逢不可知<eos> |Ref:不放乡云离太阳
三间茅屋东溪上 一夜无人不可知<eos> |Ref:归去生涯竹与书
忆昔咸阳都市合 一行一曲入天台<eos> |Ref:山水之图张卖时
云密露晨晖 风寒风不歇<eos><eos><eos> |Ref:西园独掩扉
野性竟未改 山中无无情<eos><eos><eos> |Ref:何以居朝廷
京都盛游观 天子为征人<eos><eos><eos> |Ref:谁访子云家
夜夜苦更长 春风空满床<eos><eos><eos> |Ref:愁来不如死
客来洗粉黛 人<unk>垂绣裘<eos><eos><eos> |Ref:日暮拾流萤
白笏朱衫年少时 不知一日无人心<eos> |Ref:久登班列会朝仪
辛苦尘土间 不知天事时<eos><eos><eos> |Ref:飞啄禾黍丛
莫见东风便无定 不知何处是人间<eos> |Ref:满帆还有济川功
摇落江天欲尽秋 一声风断一声声<eos> |Ref:远鸿高送一行愁
羞入原宪室 不得为人欺<eos><eos><eos> |Ref:荒淫隐蓬蒿
小童疑是有村客 不见春风无限人<eos> |Ref:急向柴门去却关
禁深分直夜 山色入秋风<eos><eos><eos> |Ref:地远独行春
饮酒入玉壶 行歌入天台<eos><eos><eos> |Ref:藏身以为宝
本是江南客 何曾不可知<eos><eos><eos> |Ref:还同衣锦归
云入授衣假 风随出阙声<eos><eos><eos> |Ref:风吹闲宇凉
欲逐黄鹤飞 不知白生君<eos><eos><eos> |Ref:相呼向蓬阙
求凰应不远 不得不相亲<eos><eos><eos> |Ref:去马剩须鞭
黄金骄石崇 白马为文章<eos><eos><eos> |Ref:与晋争国力
汉流虽狂 天子不得<eos><eos><eos><eos> |Ref:坚不可蚀
操持纪纲地 不见三月秋<eos><eos><eos> |Ref:喜见朱丝直
芦笋锥犹短 花花冻碎空<eos><eos><eos> |Ref:凌澌玉渐融
三山未有偷桃计 一片无由见画眉<eos> |Ref:四海初传问菊名
闻说庭花发暮春 一闻风雨满窗花<eos> |Ref:长安才子看须频
晴空一鸟渡 秋日落花花<eos><eos><eos> |Ref:万里秋江碧
君家诚易知 我不不能得<eos><eos><eos> |Ref:胜绝倾里闾
松色摧残遭贼火 花生不得不成身<eos> |Ref:水声幽咽落人家
轻轻须重不须轻 不得无人不得来<eos> |Ref:众木难成独早成
童子眠苔净 渔舟卧鸟寒<eos><eos><eos> |Ref:高僧话漏终
桃满西园淑景催 一花红叶满山风<eos> |Ref:几多红艳浅深开
愿言符大化 不敢为其伦<eos><eos><eos> |Ref:永永作元龟
遭逢二明主 不得一铢衣<eos><eos><eos> |Ref:前后两迁逐
生在巫山更向西 不知春草不知时<eos> |Ref:不知何事到巴溪
