除却醉来开口笑 不知相见一年年<eos> |Ref:世间何事更关身
美人荷裙芙蓉妆 金钗金鞭侍罗幕<eos> |Ref:柔荑萦雾棹龙航
为问前时金马客 不知犹是凤衔麟<eos> |Ref:此焉还作少微星
禄山胡旋迷君眼 歌客春风无酒翁<eos> |Ref:兵过黄河疑未反
嗣册储皇帝命行 真为王子为名欢<eos> |Ref:万方臣妾跃欢声
阵云忽向沙中起 秦女泪垂舟上更<eos> |Ref:探得胡兵过辽水
祝尔愿尔贵 不敢得相思<eos><eos><eos> |Ref:仍且寿命长
相思万里道 不见一行长<eos><eos><eos> |Ref:春去夕阳西
更衔长绶带 一拂紫绡衣<eos><eos><eos> |Ref:留意感人深
自古无奈何 不知不可论<eos><eos><eos> |Ref:命为时所屈
济旱惟宸虑 无言不见花<eos><eos><eos> |Ref:为霖即上台
化人之心固甚难 不知不事兮相思<eos> |Ref:自化之心更不易
打鼓泊船何处客 满城深树上蝉声<eos> |Ref:捣衣隔竹是谁家
端然洁白心 不得为清音<eos><eos><eos> |Ref:可与神明通
亲故寻回驾 山寒不满床<eos><eos><eos> |Ref:妻孥未出关
愿得勤来看 无人为自开<eos><eos><eos> |Ref:无令便逐风
东风散馀冱 山泉入幽垒<eos><eos><eos> |Ref:陂水淡已绿
稼穑既自种 何必无相期<eos><eos><eos> |Ref:牛羊还自牧
怜君更去三千里 不见青山不得无<eos> |Ref:落日青山江上看
楚竹燕歌动画梁 长歌五十一相催<eos> |Ref:春兰重换舞衣裳
醉夜眠江月 风吹入竹花<eos><eos><eos> |Ref:闲时逐海云
野猿疑弄客 风去似无人<eos><eos><eos> |Ref:山鸟似呼人
远承云台议 何事不可忘<eos><eos><eos> |Ref:非势孰敢当
修刺辕门里 无人道路游<eos><eos><eos> |Ref:多怜尔为亲
千载空桃花 春风吹丝竹<eos><eos><eos> |Ref:秦人深不见
远水自澄终日绿 平天无限白云生<eos> |Ref:晴林长落过春花
邻富鸡长往 风中鸟自鸣<eos><eos><eos> |Ref:庄贫客渐稀
一条归梦朱弦直 一雁归来陇水天<eos> |Ref:一片离心白羽轻
独壑临万嶂 一日上千峰<eos><eos><eos> |Ref:苍苔绝行迹
溪上千年送女潮 山人旧竹步前行<eos> |Ref:为感吴王至今有
兴来犹杖屦 夜来犹自弹<eos><eos><eos> |Ref:目断更云沙
自为钓竿能遣闷 不知何处得闲游<eos> |Ref:不因萱草解销忧
寂寞鱼山青草里 暮愁人来月明里<eos> |Ref:何人更立智琼祠
只应将唳鹤 山云起跃龙<eos><eos><eos> |Ref:幽谷共翩翻
思山海月上 不见江湖时<eos><eos><eos> |Ref:出定印香终
白雨映寒山 清风动秋月<eos><eos><eos> |Ref:森森似银竹
李郭应时望 何人得此心<eos><eos><eos> |Ref:王杨入幕频
谷莺栖未稳 不觉归心死<eos><eos><eos> |Ref:宫女画难真
老夫当暮矣 何处是长安<eos><eos><eos> |Ref:蹀足惧骅骝
鹤飞岩烟碧 风清云火烟<eos><eos><eos> |Ref:鹿鸣涧草香
万卷书生刘鲁风 白云空日忆归戎<eos> |Ref:烟波万里谒文翁
云是孟武昌 不知此地深<eos><eos><eos> |Ref:令献苦雪篇
不知何道士 不是此时人<eos><eos><eos> |Ref:手把灵书卷
麒麟前殿拜天子 白首弯弯在墙内<eos> |Ref:走马西击长城胡
大屋檐多装雁齿 垂檐只自爱松泉<eos> |Ref:小航船亦画龙头
天唯两眼失一眼 心间太白龙可身<eos> |Ref:将军何处行天兵
烈烈鸑鷟吟 不知山汉心<eos><eos><eos> |Ref:铿铿琅玕音
当时无德御乾坤 圣主宣张天上清<eos> |Ref:广筑徒劳万古存
诗思竹间得 不知人外归<eos><eos><eos> |Ref:道心松下生
纵棹随归鸟 山中见旧人<eos><eos><eos> |Ref:乘潮向夕阳
桂树芳阴在 无人得处期<eos><eos><eos> |Ref:还期岁晏归
琼树扶疏压瑞烟 玉楼光月一轮垂<eos> |Ref:玉皇朝客满花前
归来把通籍 何必问青冥<eos><eos><eos> |Ref:且作高堂寿
宋玉事襄王 人生海上春<eos><eos><eos> |Ref:能为高唐赋
青萝与紫葛 不得天步才<eos><eos><eos> |Ref:枝蔓垂相樛
伯业随流水 山城入故园<eos><eos><eos> |Ref:寒芜上古城
春城无处不飞花 不见花前去处人<eos> |Ref:寒食东风御柳斜
自说轩皇息战威 不知时是是人间<eos> |Ref:万方无复事戎衣
照影玉潭里 不见白云端<eos><eos><eos> |Ref:刷毛琪树间
洛阳无怨思 一夜不知春<eos><eos><eos> |Ref:巡幸更非赊
更望尊中菊花酒 相逢何必惜春荣<eos> |Ref:殷勤能得几回沽
夜酌此时看碾玉 不堪还是夜明空<eos> |Ref:晨趋几日重鸣珂
渠若向西行 不见一身生<eos><eos><eos> |Ref:我便东边走
故人坟树立秋风 独有闲人事所思<eos> |Ref:伯道无儿迹便空
莲池伊水入 一日清风同<eos><eos><eos> |Ref:石径远山通
积金累作山 不知心与物<eos><eos><eos> |Ref:山高小于址
晓渡明镜中 不见天上雪<eos><eos><eos> |Ref:霞衣相飘飖
径接河源润 风流海月明<eos><eos><eos> |Ref:庭容塔影凉
唯应清都境 何人不得名<eos><eos><eos> |Ref:长与韩众亲
还期在岁晏 不得不可论<eos><eos><eos> |Ref:何以慰吾怀
承言窜遐魅 何人事可测<eos><eos><eos> |Ref:雪枉间深狴
重阳未到已登临 不见书书满眼花<eos> |Ref:探得黄花且独斟
竹径青苔合 山阴白露深<eos><eos><eos> |Ref:茶轩白鸟还
顾敌知心勇 何由得衰病<eos><eos><eos> |Ref:先鸣觉气雄
一边载出一边来 万里惊尘满窗影<eos> |Ref:更衣不减寻常数
小球场近曲池头 御酒看看花落枝<eos> |Ref:宣唤勋臣试打球
世人贵身不贵寿 不得人间春事贫<eos> |Ref:共笑华阳洞天口
子推言避世 不得病吟身<eos><eos><eos> |Ref:山火遂焚身
算成功在彀 此业道难医<eos><eos><eos> |Ref:运去事终亏
谁知此日凭轩处 江上山闲愁眼明<eos> |Ref:一笔工夫胜七襄
罪戾宽犹活 风声冻未干<eos><eos><eos> |Ref:干戈塞未开
鸟归沙有迹 山静雨无风<eos><eos><eos> |Ref:帆过浪无痕
年年喜见山长在 不是归来我梦长<eos> |Ref:日日悲看水独流
中岳仇先生 不得儿不家<eos><eos><eos> |Ref:遗余饵松方
宠命垂天锡 清风动太清<eos><eos><eos> |Ref:崇恩发睿情
生时自乐死由命 此意无由无不知<eos> |Ref:万事在天管不迷
瑶瑟多哀怨 春深似好风<eos><eos><eos> |Ref:朱弦且莫听
新诗句句好 不复到南宫<eos><eos><eos> |Ref:应任老夫传
日阅书开士 何人不得名<eos><eos><eos> |Ref:星言驾劝农
沙净有波迹 不知心不穷<eos><eos><eos> |Ref:岸平多草烟
鸣球香瓒 礼乐既陈<eos><eos><eos><eos> |Ref:大糦是承
千里寻归路 山中独见君<eos><eos><eos> |Ref:一苇乱平源
几生通佛性 一去入山居<eos><eos><eos> |Ref:一室但香烟
鸬鹚西日照 不见故人稀<eos><eos><eos> |Ref:晒翅满鱼梁
白日无定影 一月不成声<eos><eos><eos> |Ref:清江无定波
何由返初服 一室奉何年<eos><eos><eos> |Ref:田野醉芳樽
悲鸣驷马顾 金络紫泥泥<eos><eos><eos> |Ref:失涕万人挥
明发又驱马 不知天下秋<eos><eos><eos> |Ref:客思一裴回
射策亦何为 不得不可攀<eos><eos><eos> |Ref:春卿遂聊辍
树重岩籁合 风雨象徽轻<eos><eos><eos> |Ref:泉迸水光浮
同心不可忘 不得一相思<eos><eos><eos> |Ref:交臂何为失
灞陵才出树 山气已成花<eos><eos><eos> |Ref:渭水欲连天
独忆紫芝叟 不得青楼家<eos><eos><eos> |Ref:临风歌旧歌
地绿苔犹少 山深雪未成<eos><eos><eos> |Ref:林黄柳尚疏
鄙性乐疏野 不知心与闲<eos><eos><eos> |Ref:凿地便成沟
行遇竹王因设奠 圣知天灵信食量<eos> |Ref:居逢木客又迁家
离歌正凄切 不见此中游<eos><eos><eos> |Ref:休更促危弦
今朝暗算当时事 一片风流不得来<eos> |Ref:已是人间七万年
不知临绝槛 万里上山桥<eos><eos><eos> |Ref:乃见西江流
人来有清兴 不是此生人<eos><eos><eos> |Ref:及此有相思
江行几千里 何处不相逢<eos><eos><eos> |Ref:海月十五圆
制衣新濯锦 风动小香风<eos><eos><eos> |Ref:开酝旧烧罂
无枣犹可食 不得不相逢<eos><eos><eos> |Ref:无桑何以衣
大螾腾共结 花叶艳初开<eos><eos><eos> |Ref:修蛇飞相盘
一方清气群阴伏 一事无兵毒俗难<eos> |Ref:半局闲棋万虑空
洛阳城东桃李花 飞来飞去满谁家<eos> |Ref:飞来飞去落谁家
自移西岳门长锁 一径东南山不平<eos> |Ref:一个行人一遍开
琴伴前庭月 风吹御苑春<eos><eos><eos> |Ref:酒劝后园春
锋芒利如欧冶剑 萝交交日一霞霜<eos> |Ref:劲直浑是并州铁
承颜自俯仰 万壑皆萧萧<eos><eos><eos> |Ref:有泪不敢流
残云归太华 不得无忧患<eos><eos><eos> |Ref:疏雨过中条
不堪回首崎岖路 不见相看日半边<eos> |Ref:正是寒风皴错时
出身仕汉羽林郎 谁知宝鼎作黄金<eos> |Ref:初随骠骑战渔阳
夕阳留古木 一径入幽山<eos><eos><eos> |Ref:水鸟拂寒浪
傅岩既纡郁 其根无夕阳<eos><eos><eos> |Ref:首山亦嵯峨
才非师赵壹 何用汉河悬<eos><eos><eos> |Ref:直欲效陈咸
遥知寝庙尝新后 白日寒灯欲上秋<eos> |Ref:敕赐樱桃向几家
花落曾谁到 山阳不可知<eos><eos><eos> |Ref:诗成独未题
长啸峨嵋北 天高雨已平<eos><eos><eos> |Ref:潜行玉垒东
博山沉燎绝馀香 汉客吟歌旧酒杯<eos> |Ref:兰烬金檠怨夜长
何如日日长如醉 不是何人得与君<eos> |Ref:付与诗人一笑看
烟火渐稀孤店静 夜声斜落上楼楼<eos> |Ref:月明深夜古楼中
古来多思客 何人不见君<eos><eos><eos> |Ref:摇落恨江潭
升平不可记 不是白云人<eos><eos><eos> |Ref:所见是闲人
千官晓立炉烟里 一片云光一点头<eos> |Ref:立近丹墀是起居
目睇烟霄阔 天高海色多<eos><eos><eos> |Ref:心惊羽翼高
岂如甘谷士 不得老书稀<eos><eos><eos> |Ref:只得香泉啜
新妇不嫌贫活计 白红能得少年生<eos> |Ref:娇孙同慰老心情
但觉衣裳湿 风霜白发茎<eos><eos><eos> |Ref:无点亦无声
湘水清见底 山色落明天<eos><eos><eos> |Ref:楚云淡无心
幸有香茶留稚子 不知人语是知时<eos> |Ref:不堪秋草送王孙
才高竟何施 不知心与谁<eos><eos><eos> |Ref:寡识冒天刑
卧君山窗下 风流竹径间<eos><eos><eos> |Ref:山鸟与我言
苎萝妖覆灭 万事无穷途<eos><eos><eos> |Ref:荆棘鬼包羞
秋来转觉此身衰 不是君恩不不开<eos> |Ref:晨起临阶盥漱时
宫响传花杵 春风见酒缸<eos><eos><eos> |Ref:天清出露盘
不挥者何 不得不得<eos><eos><eos><eos> |Ref:知音诚稀
积霭生泉洞 无人得此来<eos><eos><eos> |Ref:归云锁石龛
游衍情未终 不知心不足<eos><eos><eos> |Ref:归飞暮相及
富贵未可期 此心不可测<eos><eos><eos> |Ref:殷忧向谁写
知君过我里 不知知此心<eos><eos><eos> |Ref:惆怅旧烟霞
白草三冬色 春风万里尘<eos><eos><eos> |Ref:黄云万里愁
辙迹东巡海 天涯不可寻<eos><eos><eos> |Ref:何时适我闾
万里无活鳞 坐有真发息<eos><eos><eos> |Ref:百川多倒流
挂流三百丈 不见白云期<eos><eos><eos> |Ref:喷壑数十里
因知不生理 不敢论心神<eos><eos><eos> |Ref:合自此中探
天子临轩赐侯印 使君献作三宫行<eos> |Ref:将军佩出明光宫
辉天复耀地 万里随云飞<eos><eos><eos> |Ref:再为歌咏始
封事频闻奏 风尘亦自攀<eos><eos><eos> |Ref:除书数见名
初到庾楼红叶坠 隔江山柳草苗衣<eos> |Ref:夜投萧寺碧云随
古槎天外落 风雨月中闻<eos><eos><eos> |Ref:瀑水日边来
饮罢醒馀更惆怅 一行时去到江州<eos> |Ref:不如闲事不经心
舟子乘利涉 不得问所求<eos><eos><eos> |Ref:往来至浔阳
议堂犹集凤 风吹欲鸣弦<eos><eos><eos> |Ref:正观是元龟
金丸玉馔盛繁华 朝容一笑心人亲<eos> |Ref:自言轻侮季伦家
山中有春草 不得无时愁<eos><eos><eos> |Ref:长似寄相思
磴雪入呀谷 一去飞中秋<eos><eos><eos> |Ref:掬星洒遥天
夜舟达湖口 一月无时去<eos><eos><eos> |Ref:渐近庐山侧
可堪随北雁 归去到南乡<eos><eos><eos> |Ref:迢递向南天
十年飘泊如萍迹 不见渔歌长九重<eos> |Ref:一度登临一怅神
煮茗然枫枿 饥鹰鸣石井<eos><eos><eos> |Ref:泥墙札祖碑
窦融表已来关右 兵发容成作世情<eos> |Ref:陶侃军宜次石头
昔试邦兴后 何事乐南才<eos><eos><eos> |Ref:今过俗徯予
昔种梁王苑 天涯上谢居<eos><eos><eos> |Ref:今移汉将坛
槱燎既积 万里无穷<eos><eos><eos><eos> |Ref:稷奠并芳
王谢登临处 春风日月中<eos><eos><eos> |Ref:依依今尚存
蜀道重来老 何人到此心<eos><eos><eos> |Ref:巴猿此去闻
遥知天上桂花孤 不见人情是故人<eos> |Ref:试问嫦娥更要无
昴星人杰当王佐 至德神神不受雄<eos> |Ref:黄石仙翁识帝师
色清尘不染 山下影无遗<eos><eos><eos> |Ref:光白月相和
行人方倦役 不觉见空生<eos><eos><eos> |Ref:到此似还乡
林间扫石安棋局 山下临泉对酒杯<eos> |Ref:岩下分泉递酒杯
独怜倾国貌 不得学侯臣<eos><eos><eos> |Ref:不负早莺春
咏诗闲处立 不觉不知行<eos><eos><eos> |Ref:忆事夜深行
重门集嘶马 不知问飞鹜<eos><eos><eos> |Ref:言宴金张宅
聊书四十韵 不见一枝粟<eos><eos><eos> |Ref:甘责未精专
山头明月夜增辉 江上君归日半春<eos> |Ref:增辉不照重泉下
冰壮飞狐冷 风尘入翅轻<eos><eos><eos> |Ref:霜浓候雁哀
千惭万谢唤厌人 不觉欢娱犹相忆<eos> |Ref:向使无君终不寤
鹿袖青藜鼠耳巾 此帆闲宿钓湖边<eos> |Ref:潜夫岂解拜朝臣
谁言世缘绝 不知心不知<eos><eos><eos> |Ref:更惜知音旷
谷口春风恶 不知风上人<eos><eos><eos> |Ref:梨花盖地深
南谯古山郡 不见此心闲<eos><eos><eos> |Ref:信是高人居
此抵有千金 不得不可论<eos><eos><eos> |Ref:无乃伤清白
柳影含云幕 清吟入管弦<eos><eos><eos> |Ref:江波近酒壶
自开元至今 不得有君王<eos><eos><eos> |Ref:宗社纷如烟
连庙魂栖望 何人不可怜<eos><eos><eos> |Ref:飘江字绕巴
期当作说霖 不知流不穷<eos><eos><eos> |Ref:天下同滂沱
耒耜勤千亩 清清夜四邻<eos><eos><eos> |Ref:牲牢奉六禋
槐叶苍苍柳叶黄 风流吹血有尘中<eos> |Ref:秋高八月天欲霜
喜入山林初息影 夜添松径好无尘<eos> |Ref:厌趋朝市久劳生
鸟啄林稍果 不见池里处<eos><eos><eos> |Ref:鼯跳竹里苔
今日阳春一妙曲 不知春风生少年<eos> |Ref:凤凰楼上与君弹
懒寻芳草径 不见故园稀<eos><eos><eos> |Ref:来接侍臣筵
此中境既无佳境 不见君王道不知<eos> |Ref:他处春应不是春
弄调人间不识名 人间一片不成天<eos> |Ref:弹尽天下崛奇曲
太液无弹射 天涯不可求<eos><eos><eos> |Ref:灵禽翅不垂
排韵曾遥答 清宵不可寻<eos><eos><eos> |Ref:分题几共联
回首凤翔县 不见不相识<eos><eos><eos> |Ref:旌旗晚明灭
伟哉旷达士 不得为浮生<eos><eos><eos> |Ref:知命固不忧
崇儒习旧规 不复见仙舆<eos><eos><eos> |Ref:偃伯循先旨
客鸟投本枝 不知生其姿<eos><eos><eos> |Ref:生生复深浅
诗思禅心共竹闲 一声和动一杯清<eos> |Ref:任他流水向人间
古今皆有言 不知一生意<eos><eos><eos> |Ref:猛将出北方
虽乐未归意 一夜一人心<eos><eos><eos> |Ref:终不能自鸣
细雨城蝉噪 风清月漏深<eos><eos><eos> |Ref:残阳峤客过
磨看粹色何殊玉 罗似中年色似刀<eos> |Ref:敲有奇声直异金
逗石流何险 山中石不通<eos><eos><eos> |Ref:通关运固赊
从知为下安 不得无我时<eos><eos><eos> |Ref:处上反无俦
但伤民病痛 不觉苦饥归<eos><eos><eos> |Ref:不识时忌讳
汗马卧高原 不知不可攀<eos><eos><eos> |Ref:危旌倚长薄
篇翰如云兴 何人不得同<eos><eos><eos> |Ref:京洛颇优游
太守即悬圃 不得不相识<eos><eos><eos> |Ref:淮夷成葆疆
小小能织绮 花色似蛾眉<eos><eos><eos> |Ref:时时出浣纱
伤心可惜从前事 惆怅还逢醉死人<eos> |Ref:寥落朱廊堕粉泥
夫差昏暗霸图倾 白雪香人莫笑回<eos> |Ref:千古凄凉地不灵
福庭长自然 不得无所为<eos><eos><eos> |Ref:华顶旧称最
唯持青玉牒 金印白金盘<eos><eos><eos> |Ref:独立碧鸡峰
黄陵浮汨渚 天远杳苍茫<eos><eos><eos> |Ref:青草会湘川
蓬莱时入梦 一夜夜何如<eos><eos><eos> |Ref:知子忆贫交
相阅征途上 何人为此心<eos><eos><eos> |Ref:生涯尽几回
闲床饶得石 不得为相亲<eos><eos><eos> |Ref:杂树少于松
万事已为春弃置 一君何必是空陈<eos> |Ref:百忧须赖酒医治
音容无处所 不是一人心<eos><eos><eos> |Ref:应在玉皇前
题之为左神 神成不得无<eos><eos><eos> |Ref:理之以天后
锦囊封了又重开 不见春风不见春<eos> |Ref:夜深窗下烧红纸
留连出关骑 春来入春草<eos><eos><eos> |Ref:斟酌临岐酒
侯门聚散真如梦 不觉尘埃白雪寒<eos> |Ref:花界登临转悟空
圣德与天同 何人不见仙<eos><eos><eos> |Ref:封峦欲报功
幸奏潇湘云壑意 不知吹北风雷气<eos> |Ref:山旁容与动仙桡
膏血浸宫殿 高香入御床<eos><eos><eos> |Ref:刀枪倚檐楹
闰节开重九 金龙列大河<eos><eos><eos> |Ref:真游下大千
雁塔遥遥绿波上 玉衣相拂露无春<eos> |Ref:星龛奕奕翠微边
词藻世传平子赋 金琴寒漏在天台<eos> |Ref:园林人比郑公乡
尔爷只为一杯酒 病生不是长心哭<eos> |Ref:此别那知死与生
维舟探静域 不敢问狂凫<eos><eos><eos> |Ref:作礼事尊经
右军尚少年 不得为欢娱<eos><eos><eos> |Ref:三领东方骑
田竖鞭髑髅 不计尘埃情<eos><eos><eos> |Ref:村童扫精灵
故旧相望在三事 不知人事有何如<eos> |Ref:愿君莫厌承明庐
愿君去丘坂 山阴空古城<eos><eos><eos> |Ref:长使道路平
谁知我亦轻生者 不得相逢是别携<eos> |Ref:不得君王丈二殳
二人事慈母 不得道士旨<eos><eos><eos> |Ref:不弱古老莱
山有松门江有亭 一朝清处一声通<eos> |Ref:不劳他处问青冥
野霜浓处怜残菊 江月寒闻伴酒书<eos> |Ref:潭上花开不见人
岂唯刀机忧 不知秋水远<eos><eos><eos> |Ref:坐见蝼蚁图
我愿生两翅 何处是东山<eos><eos><eos> |Ref:捕逐出八荒
努力南行少惆怅 不知春色似苏州<eos> |Ref:江州犹似胜通州
为君乐战死 不敢为使君<eos><eos><eos> |Ref:谁喜作征夫
和风偏应律 金节夜应朝<eos><eos><eos> |Ref:细雨不沾衣
谁怜越女颜如玉 笑唱新人不可怜<eos> |Ref:贫贱江头自浣纱
愿君语高风 一声不可测<eos><eos><eos> |Ref:为余问苍旻
郡斋堪四望 不见不相逢<eos><eos><eos> |Ref:壁记有三台
登桥试长望 不是故人时<eos><eos><eos> |Ref:望极与天平
越嶂远分丁字水 山窗中见石为缯<eos> |Ref:腊梅迟见二年花
未省愁雨暗 山馆觉猿啼<eos><eos><eos> |Ref:就中伤月明
每同沙草发 风急水流哀<eos><eos><eos> |Ref:长共水云连
景物也知输健笔 锦衣闲熟出庭园<eos> |Ref:时情谁不许高枝
红雨花上滴 风夜鸟间飞<eos><eos><eos> |Ref:绿烟柳际垂
一柱高标险塞垣 玉轮翻断浪鳞<unk><eos> |Ref:南蛮不敢犯中原
守岁阿戎家 不知子子子<eos><eos><eos> |Ref:椒盘已颂花
干戈浩茫茫 何人不相识<eos><eos><eos> |Ref:地僻伤极目
最是一年春好处 不堪花月上池声<eos> |Ref:绝胜烟柳满皇都
转扇承宵月 清吟入夕阳<eos><eos><eos> |Ref:扬旌照夕蜺
到京就省试 不以文字传<eos><eos><eos> |Ref:落籍先有名
推烟唾月抛千里 一听鸣琴一一声<eos> |Ref:十番红桐一行死
云栱承跗逦 楼筵拂紫罗<eos><eos><eos> |Ref:羽葆背花重
