沙净有波迹 不深无水声 |Ref:岸平多草烟
贤愚贵贱同归尽 一日相今独此峨 |Ref:北邙冢墓高嵯峨
荣盛几何流落久 长风风日别云迟 |Ref:遣人襟抱薄浮生
似悲边雪音犹苦 如向前风色不风 |Ref:初背岳云行未高
孤剑向谁开壮节 一人何处在中心 |Ref:流年催我自堪嗟
郭内青山寺 山前白水人 |Ref:难论此崛奇
时人趋缨弁 一鸟无花衣 |Ref:高鸟违罗网
周礼仍存鲁 宣恩不叹周 |Ref:隋师果禅唐
龙钟还忝二千石 龙剑不长四万山 |Ref:愧尔东西南北人
妻子亦何辜 儿人亦自堂 |Ref:焚之买虚声
境空宜入梦 日尽不为愁 |Ref:藤古不留春
白龙改常服 丹鹤为年制 |Ref:偶被豫且制
此欢竟莫遂 何日不何情 |Ref:狂杀王子猷
缘情无怨刺 为意有离枝 |Ref:却似反离骚
偏伤朋友尽 不见不人新 |Ref:移兴子孙间
自嗟胡为者 日为不为人 |Ref:得蹑前修躅
世德既颠坠 人仁亦长坚 |Ref:素怀亦堙沦
五代武弁侍明光 一重金殿游春翼 |Ref:辍佐中权拜外郎
髐然暴百骸 何以不可言 |Ref:散乱不复支
本邦伊晋 能道不子 |Ref:惟时不靖
阳山淫雾雨 阴水静云潮 |Ref:之子慎攀登
天道光下济 何人气中分 |Ref:睿词敷大中
戆直撩忌讳 安大无上张 |Ref:科仪惩傲顽
前程楚塞断 后望汉山归 |Ref:此恨洞庭深
今朝有酒今朝醉 不是无人不夜人 |Ref:明日愁来明日愁
帝一集绛宫 三上下清明 |Ref:流光出丹玄
已将名是患 何与何相足 |Ref:还用道为邻
长言听已罢 何道心何来 |Ref:千载仰斯文
松色摧残遭贼火 不声来上向风天 |Ref:水声幽咽落人家
目豁乍窥千里浪 眼怜遥见一中风 |Ref:梦寒初宿五峰云
何时共到天台里 一日相人一月中 |Ref:身与浮云处处闲
红妆楼上歇 白落水中飞 |Ref:白发陇头新
澄渟消宿蠹 清翠动时心 |Ref:煦爱剧阳春
千尺长条百尺枝 玉丈玉尽一离迟 |Ref:月桂星榆相蔽亏
天江碎碎银沙路 海马低生玉雪人 |Ref:嬴女机中断烟素
各是病来俱未了 何知何事是人翁 |Ref:莫将烦恼问汤休
行路难如此 归人不似知 |Ref:登楼望欲迷
老去齿衰嫌橘醋 不来身暖任茶丝 |Ref:病来肺渴觉茶香
别离杨柳陌 归别一花春 |Ref:迢递蜀门行
气逐招摇星 声随出水月 |Ref:魂随阊阖风
累宵同燕酌 留夜似龙声 |Ref:十舍携征骑
灵盘浸沆瀣 飞舞凌蓬蓬 |Ref:龙首映储胥
何必求深隐 不为在自名 |Ref:门前似画图
石林高几许 松水远天闻 |Ref:金刹在中峰
花满杏园千万树 一来惆去一三枝 |Ref:几人能伴老僧行
相思若烟草 不日如云人 |Ref:历乱无冬春
不知临绝槛 空日有长人 |Ref:乃见西江流
老人勿遽起 长子不相归 |Ref:且待新月华
织室魏豹俘 一君刘凤雄 |Ref:作汉太平基
明月谁为主 清人不不人 |Ref:江山暗换人
赫奕冠盖盛 长蕤云衣繁 |Ref:荧煌朱紫烂
所费百钱本 不得一不赢 |Ref:已得十倍赢
多中更被愁牵引 远上空来醉上开 |Ref:少处兼遭病折磨
入万死 为千生 |Ref:求一生
客心还惜去 何月不相来 |Ref:新月挂楼西
若说弦歌与风景 如人何是是人人 |Ref:主人兼是碧油幢
秋气集南涧 夜声入北林 |Ref:独游亭午时
自小刺头深草里 不人何处落花中 |Ref:而今渐觉出蓬蒿
白鹭栖脂粉 红龙绕酒衣 |Ref:赪鲂跃绮罗
直为甘心从苦节 不为何心不不年 |Ref:陇头流水鸣呜咽
掩灯容燕宿 吹月步人归 |Ref:开镜待鸡晨
近见兰台诸吏说 长闻西日几人归 |Ref:御诗新集未教传
塞鸿声声飞不住 江人影色去相归 |Ref:终日南征向何处
推烟唾月抛千里 向月清花不一死 |Ref:十番红桐一行死
东门送客道 南路入人人 |Ref:春色如死灰
金钱饶孔雀 玉液有<unk><unk> |Ref:锦段落山鸡
祝唐之纪 肃帝无臣 |Ref:后天罔坠
岁岁迷津路 朝风在海田 |Ref:生涯渐可悲
萦回留胜赏 对去在中诗 |Ref:萧洒出尘机
不分君恩绝 长风我相长 |Ref:纨扇曲中秋
迎雨缘池草 临风入径花 |Ref:摧花倚树风
塞树花开小 江城柳上雄 |Ref:关城雪下偏
最深城郭在人烟 一水春山一水天 |Ref:疑借壶中到梵天
御祠玄鸟应 山泽紫人还 |Ref:仙仗绿杨开
劳师送我下山行 一日看君一上行 |Ref:此别何人识此情
窗竹未抽今夏笋 夜松犹著旧春人 |Ref:庭梅曾试当年花
日月之光不到此 风风不得不何人 |Ref:非暗非明烟塞塞
画出欺王墨 清来不玉金 |Ref:擎将献惠连
到君栖迹所 归日在山山 |Ref:竹径与衡门
一薰知异质 万化玉同姿 |Ref:片玉谁齐价
一人理国致升平 一是何人何悲薄 |Ref:万物呈祥助圣明
孤城一柱观 一日一西流 |Ref:落日九江流
百尺重城际 一里一不中 |Ref:千寻大道隈
恭闻国有英雄将 今见天王太凤声 |Ref:拟把何心答圣朝
骊岫接新丰 苍峣连碧清 |Ref:岧峣驾碧空
柳爱和身动 花怜带面开 |Ref:梅愁合树融
别有真人气 何年白子声 |Ref:安知名不名
锦水通巴峡 云山入蜀州 |Ref:香山对洛河
声发响必答 声声多已中 |Ref:形存影即随
昏霭雾中悲世界 寒风日外见天天 |Ref:曙霞光里见王城
故人不见五春风 新月花风一月风 |Ref:异地相逢岳影中
何年辞水阁 一日入山台 |Ref:今夜宿云扉
弓断阵前争日月 马开军上长风风 |Ref:血流垓下定龙蛇
斯须亦何益 不得亦所期 |Ref:终复委山冈
窗中三楚尽 窗上一江情 |Ref:林上九江平
不知何代策 何得有相人 |Ref:空使蜀人弊
何事同生壬子岁 长知一得一人人 |Ref:老于崔相及刘郎
今人异古人 何与不人人 |Ref:结托唯亲宾
君家尽是我家山 我我不为我一人 |Ref:严子前台枕古湾
疏慵本吾性 静爱不人时 |Ref:任笑早离群
雕鹗失势病 不感无年穷 |Ref:鹪鹩假翼翔
战后悲逢血 行来喜思寒 |Ref:烧馀恨见灰
国以斯文重 天将表文轻 |Ref:公仍内署来
虎翼分营势 龙鳞出塞平 |Ref:鱼鳞拥阵行
城府深朱夏 山山远白春 |Ref:江湖眇霁天
想得玉郎乘画舸 不闻金里入红楼 |Ref:几回明月坠云间
崆峒杀气黑 白索万光黄 |Ref:少海旌旗黄
尺书能不吝 不事不无铓 |Ref:时望鲤鱼传
未知二贤意 何见无相心 |Ref:去矣从所欲
白露含明月 青风照远云 |Ref:青霞断绛河
人心苦颠倒 夜色不无愁 |Ref:反为忧者嗤
珠生骊龙颔 金死凤龙盘 |Ref:或生灵蛇口
羌女轻烽燧 胡王狎战鼙 |Ref:胡儿制骆驼
为报广寒攀桂客 不年无老是兰人 |Ref:莫辞相访共衔杯
水连南海涨 山带北山寒 |Ref:星拱北辰居
入来殊景物 归去不人人 |Ref:行复洗纷垢
但仰山岳秀 不然江水真 |Ref:不知江海深
姓氏不书高士传 不君皆与公人赋 |Ref:形神自得逸人风
藓生天竺屐 松向日无人 |Ref:烟外洞庭帆
屈原江上婵娟竹 <unk>石天间细自苔 |Ref:陶潜篱下芳菲菊
此夜雁初至 一人人不来 |Ref:空山雨独闻
杂佩含风响 和舞带露新 |Ref:丛花隔扇开
乍似秋江上 还疑夜鸟中 |Ref:渔家半掩扉
一水悠悠百粤通 一山遥里两千同 |Ref:片帆无奈信秋风
上宰无为化 何人有为人 |Ref:明时太古同
巢幕方犹燕 行人不不人 |Ref:抢榆尚笑鲲
江湖犹足事 何子不无情 |Ref:食宿戍鼙喧
秋爽鼓琴兴 风思动酒思 |Ref:月清搜句魂
唯有春江看未厌 不无春月不相愁 |Ref:萦砂绕石渌潺湲
欲向南朝去 何来不夜归 |Ref:诗僧有惠休
如何一花发 不是一花来 |Ref:春梦遍江潭
旗尾蛟龙会 天鳞凤凤鸣 |Ref:楼头燕雀驯
鬓丝饶镜色 风日有人声 |Ref:隙雪夺灯辉
杳出霄汉上 悠来不日中 |Ref:仰攀日月行
一夕盈千念 三年在一年 |Ref:方知别者劳
鸿私浃幽远 鱼德成<unk>隙 |Ref:厚泽润凋枯
是际船中望 何来不外游 |Ref:东南仞仞秋
征马临素浐 离舟入绿楼 |Ref:离人倾浊醪
莫为霜台愁岁暮 一人春日不人人 |Ref:潜龙须待一声雷
湓浦城中为上佐 一山不外为中司 |Ref:炉峰寺后著幽居
宠荣苍玉珮 恩合白金恩 |Ref:宴梦郁金堂
栗径穿蕃冢 松家入海人 |Ref:狼声隔远烟
环涂为之区 万马为之鼻 |Ref:积葑相连纚
迁客此时徒极目 不人何处不成心 |Ref:长洲孤月向谁明
共道名虽切 同人事不长 |Ref:唯论命不疑
公子髫年四海闻 清人一日一天前 |Ref:城南侍猎雪雰雰
行人陌上不留情 一日春中一不情 |Ref:愁香空谢深山雨
白日上昭昭 青风中不长 |Ref:青云高渺渺
百年路傍尽 一年不中春 |Ref:白日车中晓
黄帝登云 白云不月 |Ref:尧年百馀
茫茫名利内 何不不何人 |Ref:何以拂尘襟
浮名深般若 闲得左丈如 |Ref:方寺设莲华
岳寒当寺色 山夜入城声 |Ref:滩夜入楼声
一与清风上芸阁 一将清月为华台 |Ref:再期秋雨过龙津
况当圣明主 将以为相发 |Ref:岂乏证玉臣
兹辰素商节 承景奉公丘 |Ref:灰管变星躔
我有一瓢酒 君君一上人 |Ref:可以慰风尘
微诗公勿诮 不酒我何知 |Ref:恺悌神所劳
夕阴起层岫 秋气入清山 |Ref:清景半虹霓
多沽新丰醁 金唱小衣楼 |Ref:满载剡溪船
往与惠荀辈 新来生清棘 |Ref:中年沧洲期
上求奉王税 中以奉炎忧 |Ref:下望备家储
先生此幽隐 无子不相人 |Ref:便可谢人群
笑处如临镜 愁时不有钩 |Ref:窥时不隐墙
共爱青山住近南 不知白水在云东 |Ref:行牵吏役背双骖
五色卿云覆九重 九声天气不三郎 |Ref:香烟高舞御炉中
黄昏钟寂寂 白落水苍苍 |Ref:清晓角呜呜
宗儒俎豆事 何我安精天 |Ref:故吏去思计
兔苑旧游尽 龙山新日新 |Ref:龟台仙路长
谷莺栖未稳 山柳落时开 |Ref:宫女画难真
往年分首出咸秦 今日东山不不秦 |Ref:木落花开秋又春
蕃书文字别 何事不人来 |Ref:胡俗语音殊
你若不信爱 不如无神子 |Ref:相逢不相遇
梁王座上多词客 一水楼中不上人 |Ref:五韵甘心第七成
草堂书一架 花饭酒千开 |Ref:苔径竹千竿
戴天惟庆幸 献日是年荣 |Ref:选地即殊尤
戏狖跳林末 飞猿出石云 |Ref:高僧住石间
喧静不由居远近 相闲何处在无深 |Ref:大都车马就权门
复为万里别 不作一年期 |Ref:送子山之阿
藓岸和纤草 松潭静远风 |Ref:松泉溅浅沙
四月未全热 孤风不不清 |Ref:麦凉江气秋
竹丛身后长 松叶道中深 |Ref:台势雨来倾
广陵多车马 何此有旌人 |Ref:日夕自游盘
能将吏部镜 不与不中衣 |Ref:照取寸心看
上堤马蹄滑 上里人树湿 |Ref:中路蜡烛死
庾楼今夜月 应水不时风 |Ref:君岂在楼头
雪依瓦沟白 日落山云青 |Ref:草绕墙根绿
旱气期销荡 秋光不寂微 |Ref:阴官想骏奔
请君诵此意 白我空如心 |Ref:令彼惑者听
霭空迷昼景 风日见秋风 |Ref:临宇借寒光
何烦问更漏 高日不相生 |Ref:但遣催弦索
晷度经南斗 时来忆北年 |Ref:流晶尽北堂
前月事斋戒 后风方不行 |Ref:昨日散道场
羲氏兼和氏 周家不大师 |Ref:行之又则之
好衣美食来何处 曾向青来去几人 |Ref:亦须惭愧桑弘羊
晚忆凉泉对 春吟白水侵 |Ref:闲思异果平
幸有桃源近 何无草路同 |Ref:全家肯去无
薄暮停车更凄怆 不君何日不凄色 |Ref:山阳邻笛若为听
玉杯倾酒尽 金酒入花新 |Ref:不换惨凄容
罢战逢时泰 归行见日丰 |Ref:轻徭伫俗和
汉武玉堂人岂在 红陵金阁鹤不来 |Ref:石家金谷水空流
非关风露凋 不水风相足 |Ref:曾是戍役伤
寒尘妒尽秦王女 一日新人楚水城 |Ref:凉殿恩随汉主妃
青郊树密 白海云深 |Ref:翠渚萍新
中孚谅可乐 此<unk>不能情 |Ref:书此示家人
冥心坐满蒲团稳 隐眼时轻一细轻 |Ref:梦到天台过剡溪
受命笼齐鹄 开诗动汉禽 |Ref:交欢献楚王
垂露和仙药 焚风带上书 |Ref:烧香诵道经
万事难并立 千年不不行 |Ref:百年犹崇晨
身遗世自薄 心不人相多 |Ref:道胜名必贱
欹枕卧吟荷叶雨 落窗行宿竹花风 |Ref:持杯坐醉菊花天
汉祖吕氏 不为王人 |Ref:食其在傍
宴集喧华第 歌歌入玉楼 |Ref:歌钟簇画梁
问人孤驿路 归日不人人 |Ref:驱马乱山峰
岸上火兮相迎 山中风兮驯识 |Ref:将夜入兮边城
南中南斗映星河 西山北天凝曙波 |Ref:秦关秦塞阻烟波
青松古墓伤碑碣 白谷平家不姓王 |Ref:红杏春园羡管弦
借问景阳台下客 何人谁是是人人 |Ref:谢家谁更卧东山
殿涌全身塔 天开半面人 |Ref:池开半月泉
南浮涨海人何处 北落秋山雁有时 |Ref:北望衡阳雁几群
今来脱豸冠 何去出龙生 |Ref:时往侍龙楼
更作儒林传 不为不此人 |Ref:还应有姓名
山梁从行者 人人任相亲 |Ref:错解仲尼叹
且脱衣沽酒 还将酒不醉 |Ref:终南山欲春
偏将残濑杂 更望故云流 |Ref:乍与远鸿哀
篱落岁云暮 日日秋日秋 |Ref:数枝聊自芳
旌旗江上出 骑角日中行 |Ref:花外卷帘空
晴山傍舟楫 春水上云洲 |Ref:白鹭惊丝桐
轻裁鸭绿任金刀 一手人高求玉女 |Ref:不怕西风断野蒿
匈奴几万里 汉马何三里 |Ref:春至不知来
只贪诗调苦 不得酒书贫 |Ref:不计病容生
终当就知己 何此不相人 |Ref:莫恋潺湲流
习隐将时背 悠来不处同 |Ref:干名与道妨
要果逡巡种 前花一酒栽 |Ref:思茶逐旋煎
咫尺真容近 无人不影微 |Ref:巍峨大象悬
碧竿微露月玲珑 白日高风云自深 |Ref:谢豹伤心独叫风
百年便作万年计 一日相为一处枝 |Ref:岩畔古碑空绿苔
属和才将竭 恩如命不贫 |Ref:呻吟至日暾
远人无坟水头祭 古鸟有里山上行 |Ref:还引妇姑望乡拜
肃肃举鸿毛 巍巍降桂襟 |Ref:冷然顺风吹
饮馔开华幄 吟精出彩楼 |Ref:笙歌出钿车
惆怅人间多别离 春人相处有相归 |Ref:梅花满眼独行时
祭船如祭祖 汉剑似空天 |Ref:习竞如习雠
一曲称君心 何为不我意 |Ref:恩荣连九族
误疑茅堂过江麓 不觉三月起白楼 |Ref:已入风磴霾云端
寿尽天年命不通 九山天日不无中 |Ref:钓溪吟月便成翁
采异百代后 言如千相时 |Ref:得之古人前
猿叫江天暮 猿飞海海秋 |Ref:虫声野浦寒
十二岚峰挂夕晖 一千千里不相飞 |Ref:庙门深闭雾烟微
阴云拥岩端 清月入山外 |Ref:沾雨当山腹
日照锦城头 风吹白上流 |Ref:朝光散花楼
晴云如擘絮 春雨似含枝 |Ref:新月似磨镰
磴雪入呀谷 云冰入<unk>阳 |Ref:掬星洒遥天
主人中夜起 一客一朝来 |Ref:妓烛前罗列
一写悁勤意 三言无所音 |Ref:宁用诉华觞
但欲愚者悦 岂为不者难 |Ref:不思贤者嗤
兹晨戒流火 千夕同山云 |Ref:商飙早已惊
水轩平写琉璃镜 竹竹新来白玉弦 |Ref:草岸斜铺翡翠茵
台边生野草 日上入人云 |Ref:来去罥罗縠
珠林春寂寂 金水夜清苍 |Ref:宝地夜沉沉
花开忽忆故山树 月落不随故海城 |Ref:月上自登临水楼
眷眷章梓州 历驾奉远游 |Ref:开筵俯高柳
白发生偏速 青山日自长 |Ref:交人不奈何
若许死前恩少报 不知何后有无衣 |Ref:终期言下命潜通
少赋令才犹强作 多诗诗事尚难成 |Ref:众医多识不能呼
总为求衣食 何为是不人 |Ref:令心生烦恼
轩窗退残暑 枕席看寒阴 |Ref:风物迎萧辰
西风天际雁 东日水中人 |Ref:落日渡头人
回首夕岚山翠远 云山秋水水花多 |Ref:楚郊烟树隐襄城
间出人三秀 中生道九香 |Ref:平临楚四郊
天姿信为异 日气不可新 |Ref:时用非所任
何如此幽居 一此在相人 |Ref:地僻人不争
年年小摇落 何日长不发 |Ref:不与故园同
愿逐南风飞帝席 金君西雪入王台 |Ref:年年含笑舞青春
昔日声名喧洛下 今年归处在江中 |Ref:近来诗价满江南
明德逾隆 永心不大 |Ref:非馨是荐
十年惟悟吟诗句 一日无来一酒书 |Ref:待得中原欲铸兵
沓障连夜猿 飞窗隔秋月 |Ref:平沙覆阳雁
玉树琼筵映彩霞 金花金马入春风 |Ref:澄虚楼阁似仙家
物尚犹如此 人应不自知 |Ref:人争合偶然
如来烧赤尽 一去白青人 |Ref:惟有一群僧
日月笼中鸟 风风落上猿 |Ref:乾坤水上萍
陈琳草奏才还在 王粲金军事未回 |Ref:王粲登楼兴不赊
枯朽沾皇泽 寒生堕后人 |Ref:翾飞舞帝梧
灌园曾取适 山草不何期 |Ref:游寺可终焉
薄宦浑无味 高山岂有心 |Ref:平生粗有诗
应是水仙梳洗处 碧花花月到青时 |Ref:一螺青黛镜中心
曾持两郡印 今是一乡人 |Ref:多比五侯家
岩边树动猿下涧 野上月入鸟中林 |Ref:云里锡鸣僧上山
别有洞天三十六 春年白作一千人 |Ref:水晶台殿冷层层
辽落缅岁时 双风不不知 |Ref:辛勤历江岛
天地日流血 此天天不心 |Ref:朝廷谁请缨
门临秋水掩 月入夜山流 |Ref:帆带夕阳飞
路沿湘树叠 山入海城深 |Ref:山入楚云层
笑言虽不接 何事不不同 |Ref:情状似相亲
新晴日照山头雪 旧日春花一头风 |Ref:薄暮人争渡口船
钟远清霄半 月深入水中 |Ref:蜩稀暑雨前
空怜莎草色 不见竹花声 |Ref:长接故园春
忽思班女怨 还与玉人心 |Ref:遥听越人吟
我实胶漆交 我亦无穹驰 |Ref:中堂共杯酒
北伐昧天造 南将欣神竭 |Ref:王师示有征
燕人同窜越 凤子共山鸣 |Ref:万里自相哀
白面皇家郎 青头天上客 |Ref:逸翮青云姿
泉源在庭户 山谷在相亲 |Ref:洞壑当门前
初行若片云 初入如中水 |Ref:杳在青崖间
始驭屏星乘 初光列月音 |Ref:旋阴蔽茀棠
谅难求摽摽 宁易知澄灭 |Ref:聊欲取铮铮
秋风动地黄云暮 暮日孤山白月秋 |Ref:归去嵩阳寻旧师
耒耜勤千亩 醍葵在一邻 |Ref:牲牢奉六禋
春来点检闲游数 不得还来不不多 |Ref:犹自多于年少人
行藏如此辈 飞有有何人 |Ref:何以谓谋身
已闻旰食思真将 更见高前拜大兵 |Ref:会待畋游致假王
身轻委回雪 心迥一离冰 |Ref:罗薄透凝脂
重九共游娱 孤年不会玉 |Ref:秋光景气殊
白浪漫漫去不回 黄云何如无不过 |Ref:浮云飞尽日西颓
此瓢今已到 不与不相来 |Ref:山瓢知已空
九重初启钥 三年正明肩 |Ref:三事正称觞
朱楼银阁正平生 碧树金楼长城长 |Ref:碧草青苔坐芜漫
可怜户外桃兼李 一有东中何如苔 |Ref:仲蔚蓬蒿奈尔何
奉诏不言空问俗 临山无日不归人 |Ref:清时因得访遗贤
